web-scraper-order,bank,donor-num,donor-link-href,description,look-alikes,price,race,race-self-described,ethnicity,degree,occupation,weight,height,eye,eye-color-original,hair,hair-color-original,hair-texture,skintone,skin-tone-original,bloodType,donation-age,sign,fave-subjects,jewish,religion,religion-original,goals,pet,describes-himself,hobbies,dominant-hand,hairy-chest,generally-hairy,ear-lobes,beard-color,eyebrows,dimples,acne,acne-info,shoe-size,body-build,face-shape,lips,nose-shape,long-eyelashes,hair-loss,why-donate
1583195532-910,CCB,15584,https://www.cryobank.com/donor/15584,"Healthy, Wealthy, & Wise: Donor 15584 is a successful investor in real estate and the stock market, and credits his success to his analytical and rational approach to problem-solving. He hopes that his professional success will allow him the freedom to spend more time doing what he truly loves, like traveling the world and learning about new cultures. He plans to someday write a book about his success in the stock market. This friendly, even-tempered PhD graduate speaks several languages and really enjoys cooking. A former state roller hockey champion, he also participates in swimming, running, and weight training.","Daniel Dae Kim
												Roger Kwok",$995,Asian,Asian,Chinese-Taiwanese,,,155,70,Brown,Brown,Black,Black,Straight,3,Medium,A+,,,,No,Taoist,Taoism,,,,,,,,,,,,,,,,,,,,,
1583194621-858,CCB,15593,https://www.cryobank.com/donor/15593,"Citizen of the World: Sophisticated, ambitious, and adventurous, Donor 15593 loves to learn and explore. Although this bi-lingual economics major has lived in multiple countries, he maintains a close relationship with his loving and supportive family. Logical and curious, he is a competitive chess player who enjoys Sudoku puzzles, math, and chemistry. His warm and friendly smile is a reflection of his relaxed and fun personality. Glad to help others have children, his Express Yourself is entitled, “A Letter to Offspring”.","Peyman Moaadi
												Shahab Hosseini",$895,White,Middle Eastern,Iranian,,,176,71,Brown,Brown,Black,Black,Straight,3,Medium,A+,,,,No,Agnostic,Agnostic,,,,,,,,,,,,,,,,,,,,,
1583194852-871,CCB,15601,https://www.cryobank.com/donor/15601,"Top Chef: Motivated and hardworking, Donor 15601 grew up by the seaside in Turkey and was inspired by his mother to become a professional chef. After finishing his business courses, he pursued his love of culinary arts. You can see a photo of one of his favorite dishes in his Express Yourself and he provides some cooking tips in his Donor Conversation. His two sanctuaries are the kitchen and the sea. When he was young, his father taught him how to dive. He thoroughly enjoys swimming, snorkeling, and fishing. Friendly with a gracious smile, this driven dreamer loves his life.",null,$995,White,Middle Eastern,Turkish,,,180,70,Hazel,Hazel,Black,Black,Wavy,3,Medium,O+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583194834-870,CCB,15613,https://www.cryobank.com/donor/15613,"Captain Compassion: Friendly and big-hearted, Donor 15613 is an active volunteer at his local food bank. Determined and hardworking, he went back to school to pursue his dream of becoming a psychologist to help others. He currently works with disadvantaged people and looks forward to expanding this altruistic role. Athletic and active, he plays soccer, baseball, and was captain of his high school crew team. A fan of the outdoors, he loves hiking and going skiing. He enjoys journaling and has a knack for drawing. His life goal is to open his own psychology practice someday.",Kristaps Porzingis,$895,White,White,"English, Russian",,,206,73,Brown,Brown,Brown,Brown,Straight,2,Fair,A+,,,,No,Christian,Catholic,,,,,,,,,,,,,,,,,,,,,
1583194678-865,CCB,15620,https://www.cryobank.com/donor/15620,"Natural Talent: Gifted in math and science, Donor 15620 followed in his parents’ footsteps by becoming a software engineer, even though they advised it would be a difficult career. Intelligent and determined, he commits himself 100% to any activity or relationship he pursues. After his sister introduced him to yoga, he continued to take classes, and now he’s a certified instructor. He has a knack for excelling at diverse hobbies, ranging from playing guitar to rock climbing to painting. Logical, yet empathetic, this dog-lover has a positive attitude, bright smile, and a deep focus on family.","Ben Savage
												Elijah Wood",$995,White,White,"Austrian, French, Hungarian, Polish, Russian",,,195,71,Brown,Brown,Brown,"Brown, Dark",Straight,3,Medium,O+,,,,yes,Agnostic,Agnostic,,,,,,,,,,,,,,,,,,,,,
1583195572-915,CCB,15634,https://www.cryobank.com/donor/15634,"Heart & Soul: Intelligent, outgoing, and attractive, Donor 15634 has dedicated his career to helping others. Proud of earning 3 degrees, he plans to continue his education and earn a Doctor of Psychology. He provides counseling to women and children in underserved communities, volunteers his time mentoring homeless kids, and even received a community leadership award. Organized, conscientious, and self-disciplined, this altruistic overachiever also has a playful side. He enjoys tearing up the dance floor and playing pranks on April Fool’s Day. Fit and strong, he won medals in track and field, lifts weights, and does cardio. (Adult Photos Available)",null,$995,Black,Black,African American,,,200,73,Brown,Brown,Black,Black,Wavy,3,Medium,B+,,,,No,Christian,Christian,,,,,,,,,,,,,,,,,,,,,
1583195658-926,CCB,15645,https://www.cryobank.com/donor/15645,"Worldly Geophysicist: As a child, Donor 15645 loved to take apart and fix old electronics to see how they worked. This research physicist and former forest firefighter is intellectually curious and has a wide range of interests. Repairing old bicycles, learning new languages, and playing chess are just a few of his hobbies. Gifted in math, fond of writing, and an avid reader, he may often have his nose in a book, but he enjoys getting out to ski, snowboard, and play golf.","Dean Cain (young)
												Dan Fogler",$995,White,White,"English, Irish, Polish, Swedish",,,196,73,Hazel,Hazel,Brown,"Brown, Dark",Wavy,3,Medium,A+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195252-875,CCB,15647,https://www.cryobank.com/donor/15647,"The Write Stuff: Creative with a business mind, Donor 15647 earned his MBA and enjoys working on movies. Passionate about writing stories, his goal is to share one of his stories on the big screen for all to see. In addition to film, he appreciates all types of cultural activities like concerts, plays, and art exhibits. His love of music started as a youngster when he played the piano and saxophone. Also fond of traveling, he snowboards, scuba dives, and would love to learn how to fly a plane.","Chan Ho Park
												Huang Xiaoming",$995,Asian,Asian,"Chinese, Chinese-Taiwanese",,,189,72,Brown,Brown,Black,Black,Straight,3,Medium,A+,,,,No,Buddhist,Buddhism,,,,,,,,,,,,,,,,,,,,,
1583195236-873,CCB,15650,https://www.cryobank.com/donor/15650,"Brain and Lung Power: A 4.0 student through high school, college, and graduate school, 15650 is one smart cookie. He’s a composer, musician, writer, and trivia-enthusiast who loves all the absurdity and uniqueness the world has to offer. At 6’2”, he is right at home on any basketball court, but also loves a heated ping-pong match, or ripping down the slopes on his snowboard. Although many people can play the saxophone, this Doctor of Musical Arts has the PhD to prove he can blow with the best of them.",null,$995,White,White,"English, Irish, Polish, Romanian",,,218,74,Blue,Blue,Brown,"Brown, Dark",Wavy,3,Medium,A+,,,,yes,Atheist,Atheist,,,,,,,,,,,,,,,,,,,,,
1583194694-867,CCB,15651,https://www.cryobank.com/donor/15651,"Creative Soul: Donor 15651 loves contributing to the well-being of humanity through the arts. A musician and an artist, he enjoys performing his electronic music and showing his art in galleries. Sincere with a warm heart, he appreciates the small things in life and practices meditation. When he’s not creating masterpieces, he enjoys kayaking, hiking, and snowboarding. A combination of silly and serious, he is fascinated by the deep questions of life, he’s devoted to his wife and family, and he likes to sport a fanny pack.",null,$995,White,White,"Czech, English, German, Irish",,,150,72,Brown,Brown,Brown,Brown,Wavy,2,Fair,O+,,,,No,Atheist,Atheist,,,,,,,,,,,,,,,,,,,,,
1583195244-874,CCB,15664,https://www.cryobank.com/donor/15664,"“Eight Days a Week”: An aficionado of music, art, and sports, Donor 15664 is a talented overachiever who hones his craft daily.  This Beatles fan started playing the piano when he was just five years old and he sings every day. He also plays percussion and was music director of a collegiate a cappella group. Having grown up in an artistic family, it’s no surprise that he’s skilled at drawing and painting. He combines poetry, songwriting, and lyrics to create his art. Muscular and active, he works out six days a week, loves playing and coaching baseball, and also participates in triathlons. Sensitive and caring, he enjoys giving back to his community. (Adult Photos Available)",null,$995,Mixed,"Black, White, Native Hawaiian or Other Pacific Islander","African American, Beninese, Belarusian, English, Irish, Israeli, Italian, Polish, Portuguese, Russian, Spanish, Swedish, Swiss, Tongan, Ukrainian",,,173,72,Brown,Brown,Brown,"Brown, Dark",Curly,3,Medium,O+,,,,yes,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195713-933,CCB,15665,https://www.cryobank.com/donor/15665,"Kind & Clever: Fluent in Hindi and English, Donor 15665 scored excellent distinction on his exams and received an award in the Mathematics Olympiad contest. Courageous and eager to try new things, he embraced the opportunity when he unexpectedly got transferred to the U.S. for work. This software engineer earned multiple engineering degrees and is proud of his situation analyzing capabilities. He’s also proud of the volunteer work that he does with children. He believes that children deserve to be happy and devotes his free time to teaching them ping pong and distributing toys to kids in need. Fond of cricket, tennis, and soccer, he won sports awards in school. He stays in shape now by going to the gym a few times a week.","Kumail Nanjiani
												Aziz Ansari",$995,Mixed,East Indian,East Indian,,,175,69,Black,Black,Black,Black,Straight,3,Medium,B+,,,,No,Hindu,Hindu,,,,,,,,,,,,,,,,,,,,,
1583195485-904,CCB,15678,https://www.cryobank.com/donor/15678,"Worldly Wordsmith: Proud to have served our country, Donor 15678’s military service allowed him to immerse himself in a different culture overseas. Deeply curious and open to new experiences, he is passionate about traveling. This international affairs graduate speaks Arabic fluently and can also converse in Polish and Spanish. When he isn’t busy at work writing, he enjoys playing chess, sailing, and dancing salsa & bachata. Thoughtful and reflective, check out the insightful life lessons that he shares with future offspring in his Donor Essay.","Javier Bardem
												Theo Rossi",$995,Mixed,"Asian, White","Filipino, Polish, Spanish",,,140,69,Green,Green,Brown,Brown,Wavy,3,Medium,A+,,,,No,Christian,Roman Catholic,,,,,,,,,,,,,,,,,,,,,
1583195359-888,CCB,15680,https://www.cryobank.com/donor/15680,"Trilingual Techie: Donor 15680 views life as a gift. He comes from a large family and appreciates the close connections that he has with his relatives and lifelong friends. This MBA grad is grateful to his parents for everything they did for him and is devoted to caring for them. He makes the most out of each day by learning new things and exploring. Fluent in Hindi and Gujarati, he loves listening to songs in those languages. This software engineering manager enjoys building robots and reading, but also likes to stay active playing sports like cricket, golf, soccer, tennis, and doing yoga.","Kumail Nanjiani
												Kunal Nayyar",$995,Mixed,East Indian,East Indian,,,189,70,Black,Black,Black,Black,Straight,3,Medium,A+,,,,No,Hindu,Hindu,,,,,,,,,,,,,,,,,,,,,
1583195501-906,CCB,15687,https://www.cryobank.com/donor/15687,"Happy-Go-Lucky: Open-minded and friendly, Donor 15687 is a kinesiology student with a passion for exercise, cooking, and art. Being active makes him happy and he maintains his athletic physique by playing basketball, baseball, football, and swimming. He is thankful that his father taught him how to skateboard when he was child, as it has brought him many years of enjoyment. Creative and artsy, he’s skilled at drawing and painting. He’s also a whiz in the kitchen and loves making new recipes with his wife. This proud husband is grateful for his blissful marriage and doesn’t take anything for granted.","Jim Parsons
												Clark Gregg",$995,White,White,"German, Polish, Scottish, Tunisian",,,197,73,Hazel,Hazel,Blonde,"Blonde, Dark",Straight,2,Fair,A+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195635-923,CCB,15690,https://www.cryobank.com/donor/15690,"Model of Success: Tall and muscular with bright blue eyes and a dazzling smile, Donor 15690 maintains a healthy organic diet and is always on the go. Sports and fitness come easily to this versatile athlete who plays football, swims, and snowboards. Model, actor, personal trainer, and real estate agent, he’s done it all. But he’s most proud of starting a business when he was a 20-year-old college student and watching it still thrive. In addition to being ambitious, intelligent, and very disciplined, he also enjoys helping others. His volunteer work includes building houses with Habitat for Humanity.","Ryan Reynolds
												J.J. Feild",$995,Mixed,"White, Middle Eastern, Hispanic or Latino","French Canadian, Greek, Lebanese, Nicaraguan, Scottish",,,180,72,Blue,Blue,Brown,"Brown, Light",Curly,2,Fair,B+,,,,No,Spiritual,Spiritual,,,,,,,,,,,,,,,,,,,,,
1583195673-928,CCB,15696,https://www.cryobank.com/donor/15696,"Family Matters: Positive and easygoing, it doesn’t take much to make Donor 15696 content. Just give him some PB&J sandwiches and time with his dogs and siblings, and he’s happy. One of six children, he appreciates having a big family and protects his little brothers and sisters. He enjoys going to concerts and watching movies with them. This hopeless romantic likes to read romance novels, which all started when his librarian gave him a book recommendation. Always laughing, he likes to express himself by singing and dancing (badly). Fond of outdoor activities, he enjoys going to the beach, hiking, and playing baseball.","Yancey Arias
												Nestor Araujo",$995,Hispanic,Hispanic or Latino,Mexican,,,131,70,Brown,Brown,Brown,"Brown, Dark",Wavy,3,Medium,O+,,,,No,Christian,Roman Catholic,,,,,,,,,,,,,,,,,,,,,
1583195318-883,CCB,15705,https://www.cryobank.com/donor/15705,"Friendly Front-Runner: Outgoing, empathetic, and optimistic, Donor 15705 is truly a people person who wants to create positive change. This cheerful go-getter fits his Keirsey assessment of a “Champion”. These kindhearted and enthusiastic idealists suited to become inspirational leaders are apparently very rare, representing only 2-3% of the population. With a master’s degree in public policy, he plans to pursue a career in politics and tackle social issues. Captain of his high school baseball team, president of his class, and founder of a non-profit, he has the drive and leadership ability to accomplish his goals. He also has a sense of balance, enjoying reflective hobbies like surfing, mediation, and yoga.","Matt Prater
												Russell Crowe",$995,White,White,"Lithuanian, Polish",,,211,73,Blue,Blue,Brown,Brown,Straight,3,Medium,B+,,,,yes,Christian,Christian,,,,,,,,,,,,,,,,,,,,,
1583195276-878,CCB,15708,https://www.cryobank.com/donor/15708,"Makes Science Look Cool: One look at his Adult Photos and you can tell Donor 15708 isn’t your average math and science student. Yes, he enjoys tinkering with electronics. Yes, he can build computers. And yes, he was in the National Honors Society, but this friendly and inquisitive scholar has style! A member of the hip-hop club, he enjoys dancing, drawing, and writing music. He even earned a certificate in film studies. Tri-lingual, he speaks English, Nepali, and Japanese. He stays active playing tennis, soccer, and rowing crew. Most importantly, he strives to put 100% into everything that he does.",null,$995,Asian,Asian,Nepalese,,,138,69,Black,Black,Black,Black,Straight,3,Medium,B+,,,,No,Agnostic,Agnostic,,,,,,,,,,,,,,,,,,,,,
1583195293-880,CCB,15713,https://www.cryobank.com/donor/15713,"The Quiet Creative: Soft-spoken and focused on learning new things, Donor 15713 is incredibly creative. This talented musician plays several instruments and graduated in the top of his class. In addition to being skilled in music composition and audio engineering, he also knows his way around a kitchen. This foodie is a fantastic cook who enjoys everything from Lebanese cuisine to sushi to craft burgers. His hobbies include photography, reading, and amateur rally driving. He has a knack for auto detailing and car maintenance.","Jared Leto
												Tom Hiddleston",$995,White,White,Romanian,,,190,70,Hazel,Hazel,Brown,"Brown, Dark",Straight,2,Fair,O+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195301-881,CCB,15721,https://www.cryobank.com/donor/15721,"Fit & Focused Filmmaker: Donor 15721 isn’t afraid to push his limits. Lean and muscular, this triathlete loves working out at the gym. Methodical by nature and physically fit, he trained with the ROTC. This analytical thinker has a good head on his shoulders and is passionate about his film work. Charismatic and social, he’s a great conversationalist. Always up for an adventure, he’s interested in learning about different cultures and trying new things.",,$995,Asian,Asian,"Chinese, Thai",,,184,70,Brown,Brown,Brown,"Brown, Dark",Straight,3,Medium,B+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195588-917,CCB,15725,https://www.cryobank.com/donor/15725,"Animated Actor: First in his family to attend and graduate college, Donor 15725 is proud to have set a trend for his younger brothers. Although he majored in graphic design and loves screen printing, his passion for acting drew him to the camera. Always ready for a good laugh, he’s especially fond of dad jokes and cat videos. He enjoys exercising and lifting weights to stay in shape.",null,$995,Mixed,"White, Hispanic or Latino","Dutch, Mexican",,,203,71,Brown,Brown,Brown,"Brown, Dark",Straight,2,Fair,A+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195431-897,CCB,15727,https://www.cryobank.com/donor/15727,"Aspiring Astronaut: Bold, confident, and intelligent, Donor 15727 has been fascinated with aviation and space since he was 8 years old. At age 13, he went skydiving for the first time and jumped out of a Russian bi-plane 1,000 meters above the ground. He’s done 169 jumps, acquired his parachute license, and earned a commercial pilot’s license. His next goal is working for NASA. In addition to his passion for flying, he enjoys helping others. Active in the U.S. military, he participated in search and rescue missions during natural disasters. Physically fit with big green eyes and a can-do attitude, this motivated aviator is going places. (Adult Photos Available)",null,$995,White,White,Russian,,,155,69,Green,Green,Blonde,"Blonde, Dark",Straight,2,Fair,A+,,,,No,Christian,Orthodox,,,,,,,,,,,,,,,,,,,,,
1583195268-877,CCB,15737,https://www.cryobank.com/donor/15737,"Blue-Eyed Optimist: Ambitious, intelligent, and witty, Donor 15737 excels at math and science. Empathetic and altruistic, this former boy scout learned to get over his fear of needles when he found out that the Red Cross greatly needed donors with his blood type. Quick with a clever quip, this articulate computer scientist is also a film buff who loves stand-up comedy. He shares a list of his favorite movies and TV shows in his Express Yourself. Social with a positive outlook on life, he treasures the time he spends with his friends. He also enjoys swimming, snowboarding, and playing strategy board games.","Jay Baruchel
												Pete Davidson",$995,White,White,"English, German, Irish",,,145,71,Blue,Blue,Brown,Brown,Wavy,2,Fair,O+,,,,No,Atheist,Atheist,,,,,,,,,,,,,,,,,,,,,
1583195525-909,CCB,15749,https://www.cryobank.com/donor/15749,"A-List Athlete: Smart, driven, and hardworking, Donor 15749 sets high goals for himself. This elite level hockey player also earned MVP for his high school football team, all while maintaining his A average. He was on the Dean’s List every semester in college and in law school, he earned the highest grade in one of his classes. Inspired by Ari from the show Entourage, his strong passion for sports and stellar academic background helped him achieve his dream job as a sports agent. Fit and active, he also enjoys adventurous activities like skydiving and heli skiing.","Luis Manzano
												David Zepeda",$995,Mixed,"Asian, White","Filipino, Irish",,,182,70,Brown,Brown,Brown,"Brown, Dark",Wavy,3,Medium,AB+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195540-911,CCB,15757,https://www.cryobank.com/donor/15757,"Triple Threat: Outgoing, creative, and filled with enthusiasm, Donor 15757 was already a writer, musician, and dancer at age 8. From tap dancing, to hip hop, to screenwriting, his passion for the arts runs deep. Not just an artist, this multi-talented scholar-athlete earned varsity letters for 3 sports in high school and graduated summa cum laude from college. Fond of nature, he enjoys hiking and mountain biking. Slender with a full head of curly strawberry blond hair, hazel eyes, and dimples, this aspiring filmmaker can’t wait to share his stories with an audience.","Paul Bettany
												Jakob Poeltl",$995,White,White,"German, Irish, Polish, Russian",,,135,70,Hazel,Hazel,Blonde,"Blonde, Strawberry",Curly,2,Fair,O+,,,,yes,Jewish,Jewish,,,,,,,,,,,,,,,,,,,,,
1583195284-879,CCB,15759,https://www.cryobank.com/donor/15759,"Shooting Star: Donor 15759 is confident, determined, and athletic. This talented college basketball player and honor student earned a degree in Business Administration. Passionate about writing, he hopes to see one of his screenplays at the box office someday. He also enjoys writing comedic skits and is inspired by Larry David. In addition to working out and playing virtually every sport, he also plays the piano and bass guitar. This analytical thinker likes to play board games and even created his own game. Be sure to check out his Adult Photos!",null,$995,Mixed,"American Indian or Alaska Native, White","American Indian, English, Italian",,,172,72,Hazel,Hazel,Brown,Brown,Straight,2,Fair,B+,,,,yes,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195260-876,CCB,15763,https://www.cryobank.com/donor/15763,"Heart, Mind, & Muscle: Tall and muscular with broad shoulders and a beaming smile, Donor 15763 lights up a room. You can see for yourself in his Adult Photos! Quick to help others, he volunteers in his community and believes in being the role model for the things he wants to change. Education is very important to this motivated business student. He looks up to his father who worked hard to earn a PhD. Active and musical, this critical thinker also enjoys playing sports, singing, dancing, and writing poetry.",null,$995,Black,Black,Nigerian,,,197,75,Brown,Brown,Black,Black,Curly,6,Dark,O+,,,,No,Agnostic,Agnostic,,,,,,,,,,,,,,,,,,,,,
1583195438-898,CCB,15771,https://www.cryobank.com/donor/15771,null: null,null,$995,White,White,"German, Irish, Italian, Scottish",,,157,68,Brown,Brown,Brown,"Brown, Dark",Straight,2,Fair,A+,,,,No,Christian,Christian,,,,,,,,,,,,,,,,,,,,,
1583195310-882,CCB,15782,https://www.cryobank.com/donor/15782,"Charismatic & Composed: Responsible and hardworking, Donor 15782 studied dental hygiene and is very proud of his college degree. Fluent in Cantonese, he is talkative, outgoing, and has an adventurous spirit. While he is skilled at building computers, he also has a creative side. He enjoys photography, portrait drawing, and singing. This positive thinker strongly believes in self-improvement and staying calm during stressful situations. He has a great smile, dimples, and is close with his mom. (Adult Photos Available)",null,$995,Asian,Asian,Chinese,,,168,69,Brown,Brown,Black,Black,Straight,3,Medium,B+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195367-889,CCB,15784,https://www.cryobank.com/donor/15784,"Data & Design: Creative and driven, Donor 15784 has a passion for data and photography. This detail-oriented web developer and designer is obsessed with gathering data and using spreadsheets to make decisions. Not only does he have an analytical mind, but he also has artistic talent. When he has his camera, he is determined to take the perfect photo. To see for yourself, check out his Personal Essay and Express Yourself. He also enjoys drawing, writing, and creating graphics.","Sung Kang
												Pierre Png",$995,Asian,Asian,Chinese,,,140,70,Brown,Brown,Black,Black,Straight,2,Fair,AB+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195334-885,CCB,15789,https://www.cryobank.com/donor/15789,"Bilingual Brainiac: Intelligent and focused, Donor 15789 is proud of the life that he has built for himself. This neuroscientist and researcher knew what he wanted to do since childhood and feels that it’s a privilege to be doing what he loves. Preparation, patience, and curiosity helped him achieve his goals. He’s earned scholarships, research awards, and even a perfect SAT score in math. This science guy also has a creative side, he enjoys writing, painting, and wearing fun hats and sneakers. Kind and respectful, he has a friendly smile and attractive features.","Jackson Wang
												Karry Wang",$995,Asian,Asian,Chinese,,,132,68,Brown,Brown,Black,Black,Straight,3,Medium,A+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195423-896,CCB,15808,https://www.cryobank.com/donor/15808,The Sky's The Limit: ,null,$995,White,White,"German, Swiss",,,166,72,Hazel,Hazel,Brown,"Brown, Light",Straight,2,Fair,A-,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195477-903,CCB,15809,https://www.cryobank.com/donor/15809,"On a Positive Note: Donor 15809 moved to the U.S. when he was just a teen. He learned English in a year and went on to become the first in his family to earn a college degree and even graduated cum laude. Artistic and talented, this musician lives for music, but thinks it’s important to balance what you love with what you must do. His love of music started with his dad and grew when he picked up the guitar and joined a band. Compassionate and responsible, he enjoyed teaching music to children and now works as a professional musician and musician technician. Upbeat and optimistic, he believes that happiness is a choice and he hopes to pass on his positivity to others. When he’s not playing tunes, he enjoys singing, drawing, and swimming.",null,$995,Mixed,"Hispanic or Latino, White","Peruvian, Spanish",,,155,70,Black,Black,Black,Black,Wavy,3,Medium,O+,,,,No,Agnostic,Agnostic,,,,,,,,,,,,,,,,,,,,,
1583195415-895,CCB,15820,https://www.cryobank.com/donor/15820,null: null,null,$995,White,White,"Finnish, Greek, Russian, Turkish",,,159,70,Grey,Grey,Brown,"Brown, Light",Straight,2,Fair,B+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195548-912,CCB,15828,https://www.cryobank.com/donor/15828,"Fun Dad: Determined, patient, and sometimes goofy, Donor 15828 enjoys spending time outdoors with his family. This down-to-earth dad cherishes the small moments with his kids. Even during difficult times, he focuses on the positive side of things. Ambitous and hardworking, he has mechanical skills and excels at home improvement projects. He enjoys working on cars and building things. He has a friendly smile, dimples, and long eyelashes (Adult Photos Available).",null,$995,Hispanic,Hispanic or Latino,Mexican,,,198,69,Brown,Brown,Brown,"Brown, Dark",Straight,2,Fair,A+,,,,No,Christian,Catholic,,,,,,,,,,,,,,,,,,,,,
1583195383-891,CCB,15830,https://www.cryobank.com/donor/15830,"Aspiring Director: Kind and friendly, Donor 15830 can talk for hours about photography and movies. He studied hard in China to learn English so he could pass the GRE and earn an MFA in the United States. Ambitious and blessed with a vivid imagination, this writer and film editor hopes to become a movie director someday. Close with his parents, he values family traditions like making dumplings during Lunar New Year and cooking traditional spicy dishes. He’s a big soccer fan who enjoys both playing and watching the sport. He also stays active kickboxing, running, and doing high intensity interval training.","Hu Ge
												Hu Bing",$995,Asian,Asian,Chinese,,,153,70,Brown,Brown,Black,Black,Straight,2,Fair,A+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195745-937,CCB,15833,https://www.cryobank.com/donor/15833,"A Class Act: Creating new art is the most important thing for Donor 15833. Writing scripts, composing music, directing plays, drawing, and acting are what he loves to do. He is proud of his work being accepted into playwriting festivals and earning merit-based scholarships in college. With a background in theatre, he speaks in an eloquent and articulate manner. Multi-talented, he is fluent in French and also knows basic Latin.  He enjoys swimming, hiking, and running, and even earned a medal in cross-country. Friendly and amiable, our staff really enjoyed working with him.","Topher Grace
												Luke Kleintank",$995,White,White,"Belgian, English, French, German, Italian",,,128,70,Brown,Brown,Brown,"Brown, Dark",Wavy,2,Fair,A+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195580-916,CCB,15834,https://www.cryobank.com/donor/15834,"MVP: Tall with bright hazel eyes, an attractive smile, and a positive attitude, Donor 15834 believes in leaving the world a little better than how you came into it. This cognitive science major excelled at both academics and athletics during his scholastic career. He earned MVP for high school sports, was inducted into the Honor Society, and made the Dean’s List in college. This former personal trainer stays fit and muscular by eating proteins and veggies, weight lifting, and running. He enjoys being outdoors where he can hike and snowboard.","Bruce Willis
												Brian Wilson (MLB)",$995,White,White,"English, German, Italian",,,221,72,Hazel,Hazel,Black,Black,Wavy,2,Fair,A+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195446-899,CCB,15855,https://www.cryobank.com/donor/15855,"Keyboard Master: When not sitting at one keyboard or another, this software engineer and amateur composer can often be found on the tennis or basketball court. A self-motivated and disciplined student, he credits his strong relationship with his mother as an important part of his academic success. He is kind to all creatures and believes we need to protect Mother Earth. Although video games are a major hobby, he also sees the damage they can cause if not played in moderation.","Yi Jianlian
												Daniel Yin-Cho Wu",$995,Asian,Asian,Chinese,,,171,70,Black,Black,Black,Black,Straight,3,Medium,A+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195375-890,CCB,15857,https://www.cryobank.com/donor/15857,"Work Hard, Play Hard: Driven and intelligent, when Donor 15857 was just 10 years old, he started his first business so he could buy his mom a necklace. This “get down to business” attitude stayed with him throughout his life. Once an entrepreneur auditioning for Shark Tank, he now works in the finance world. He is a team player who enjoys a collaborative environment and jumps at the chance of taking leadership roles. Fitness is also a priority to him, so after work he’ll go for a jog, lift weights, or play basketball. He lives life to the fullest by constantly enriching his life with different people and different cultures. He enjoys salsa dancing and traveling as much as possible. (He’s already been to 41 states!)",null,$995,Mixed,"Asian, Middle Eastern","Chinese, Turkish",,,165,68,Brown,Brown,Black,Black,Straight,3,Medium,O+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195342-886,CCB,15860,https://www.cryobank.com/donor/15860,"Sunny Disposition: Funny, outgoing, and charming, Donor 15860 has a contagious laugh and a positive outlook on life. He has strawberry blond hair, bright blue eyes, and a huge heart. His father is a fire fighter and he looks up to him as a role model and hero. This hardworking graduate is proud of earning a degree in chemical engineering. Athletic and muscular, he maintains his fit physique by running, biking, and playing soccer and softball. When he’s not playing sports, you may catch him drawing, cooking, or singing.","Michael Fassbender 
												Cole Beasley",$995,White,White,"English, Irish, Scottish",,,207,70,Blue,Blue,Blonde,"Blonde, Strawberry",Straight,2,Fair,O+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195391-892,CCB,15862,https://www.cryobank.com/donor/15862,"Talented Trilingual: Donor 15862 is fluent in three languages: English, Mandarin, and French. Passionate about art, he enjoys drawing portraits, painting figures, and building sculptures. In addition to creating art, he is also fond of teaching others about art. This economics major dresses very stylishly and is always keeping up with the latest trends. Slender and toned, he works out regularly by playing tennis, doing Muay Thai, and lifting weights. He started playing piano at a young age and likes to play classical music. You can get a sense of his easygoing personality from listening to his Donor Conversation.",null,$995,Asian,Asian,Chinese,,,145,70,Black,Black,Black,Black,Straight,3,Medium,O+,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583195792-943,CCB,15866,https://www.cryobank.com/donor/15866,Intelligent Adventurer: ,,$995,White,White,"English, French, German, Scottish",,,185,72,Brown,Brown,Brown,Brown,Wavy,3,Medium,A-,,,,No,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
